index,consumption_good,round,name
729,6,7,firm95
730,6,7,firm20
731,5,7,firm43
732,2,7,firm74
733,10,7,firm7
734,4,7,firm38
735,6,7,firm69
736,8,7,firm17
737,10,7,firm48
738,10,7,firm87
739,2,7,firm12
740,10,7,firm35
741,8,7,firm66
742,10,7,firm97
743,6,7,firm30
744,5,7,firm61
745,8,7,firm92
746,8,7,firm9
747,7,7,firm40
748,10,7,firm79
749,10,7,firm4
750,8,7,firm27
751,4,7,firm58
752,10,7,firm89
753,8,7,firm22
754,4,7,firm53
755,8,7,firm84
756,8,7,firm1
757,8,7,firm32
758,10,7,firm71
759,8,7,firm19
760,8,7,firm50
761,8,7,firm81
762,3,7,firm14
763,6,7,firm45
764,7,7,firm76
765,10,7,firm99
766,6,7,firm24
767,8,7,firm63
768,10,7,firm94
769,0,7,firm11
770,10,7,firm42
771,10,7,firm73
772,8,7,firm6
773,7,7,firm37
774,8,7,firm68
775,8,7,firm91
776,6,7,firm16
777,10,7,firm55
778,2,7,firm86
779,3,7,firm3
780,6,7,firm34
781,10,7,firm65
782,8,7,firm96
783,6,7,firm29
784,3,7,firm60
785,4,7,firm83
786,0,7,firm8
787,10,7,firm47
788,8,7,firm78
789,10,7,firm26
790,8,7,firm57
791,6,7,firm88
792,4,7,firm21
793,4,7,firm52
794,6,7,firm75
795,3,7,firm0
796,10,7,firm39
797,10,7,firm70
798,4,7,firm18
799,6,7,firm49
800,2,7,firm80
801,5,8,firm13
802,11,8,firm44
803,7,8,firm67
804,5,8,firm98
805,11,8,firm31
806,5,8,firm62
807,5,8,firm93
808,11,8,firm10
809,9,8,firm41
810,9,8,firm72
811,5,8,firm5
812,7,8,firm36
813,11,8,firm59
814,5,8,firm90
815,7,8,firm23
816,7,8,firm54
817,9,8,firm85
818,4,8,firm2
819,3,8,firm33
820,11,8,firm64
821,4,8,firm28
822,7,8,firm51
823,7,8,firm82
824,9,8,firm15
825,11,8,firm46
826,7,8,firm77
827,9,8,firm25
828,9,8,firm56
829,7,8,firm95
830,7,8,firm20
831,6,8,firm43
832,3,8,firm74
833,11,8,firm7
834,5,8,firm38
835,7,8,firm69
836,9,8,firm17
837,11,8,firm48
838,11,8,firm87
839,1,8,firm12
840,11,8,firm35
841,9,8,firm66
842,11,8,firm97
843,7,8,firm30
844,6,8,firm61
845,9,8,firm92
846,9,8,firm9
847,8,8,firm40
848,11,8,firm79
849,11,8,firm4
850,9,8,firm27
851,5,8,firm58
852,11,8,firm89
853,9,8,firm22
854,5,8,firm53
855,7,8,firm84
856,9,8,firm1
857,9,8,firm32
858,11,8,firm71
859,9,8,firm19
860,7,8,firm50
861,9,8,firm81
862,4,8,firm14
863,7,8,firm45
864,8,8,firm76
865,11,8,firm99
866,7,8,firm24
867,9,8,firm63
868,11,8,firm94
869,2,8,firm11
870,11,8,firm42
871,11,8,firm73
872,9,8,firm6
873,8,8,firm37
874,7,8,firm68
875,7,8,firm91
876,7,8,firm16
877,11,8,firm55
878,3,8,firm86
879,4,8,firm3
880,7,8,firm34
881,11,8,firm65
882,9,8,firm96
883,7,8,firm29
884,4,8,firm60
885,5,8,firm83
886,2,8,firm8
887,11,8,firm47
888,7,8,firm78
889,11,8,firm26
890,9,8,firm57
891,7,8,firm88
892,5,8,firm21
893,5,8,firm52
894,7,8,firm75
895,4,8,firm0
896,11,8,firm39
897,11,8,firm70
898,3,8,firm18
899,7,8,firm49
900,3,8,firm80
901,6,9,firm13
902,12,9,firm44
903,8,9,firm67
904,6,9,firm98
905,12,9,firm31
906,6,9,firm62
907,6,9,firm93
908,12,9,firm10
909,10,9,firm41
910,8,9,firm72
911,6,9,firm5
912,8,9,firm36
913,10,9,firm59
914,6,9,firm90
915,8,9,firm23
916,8,9,firm54
917,10,9,firm85
918,5,9,firm2
919,4,9,firm33
920,12,9,firm64
921,5,9,firm28
922,6,9,firm51
923,8,9,firm82
924,10,9,firm15
925,12,9,firm46
926,8,9,firm77
927,10,9,firm25
928,10,9,firm56
929,8,9,firm95
930,8,9,firm20
931,5,9,firm43
932,4,9,firm74
933,12,9,firm7
934,6,9,firm38
935,8,9,firm69
936,10,9,firm17
937,12,9,firm48
938,12,9,firm87
939,0,9,firm12
940,12,9,firm35
941,10,9,firm66
942,12,9,firm97
943,8,9,firm30
944,7,9,firm61
945,10,9,firm92
946,10,9,firm9
947,9,9,firm40
948,12,9,firm79
949,12,9,firm4
950,10,9,firm27
951,4,9,firm58
952,12,9,firm89
953,10,9,firm22
954,6,9,firm53
955,8,9,firm84
956,10,9,firm1
957,10,9,firm32
958,12,9,firm71
959,8,9,firm19
960,6,9,firm50
961,10,9,firm81
962,5,9,firm14
963,6,9,firm45
964,9,9,firm76
965,12,9,firm99
966,8,9,firm24
967,10,9,firm63
968,12,9,firm94
969,3,9,firm11
970,12,9,firm42
971,12,9,firm73
972,10,9,firm6
973,9,9,firm37
974,8,9,firm68
975,6,9,firm91
976,8,9,firm16
977,12,9,firm55
978,4,9,firm86
979,5,9,firm3
980,8,9,firm34
981,12,9,firm65
982,10,9,firm96
983,8,9,firm29
984,5,9,firm60
985,6,9,firm83
986,3,9,firm8
987,12,9,firm47
988,8,9,firm78
989,12,9,firm26
990,10,9,firm57
991,8,9,firm88
992,6,9,firm21
993,6,9,firm52
994,8,9,firm75
995,5,9,firm0
996,12,9,firm39
997,12,9,firm70
998,4,9,firm18
999,8,9,firm49
1000,4,9,firm80
1001,7,10,firm13
1002,13,10,firm44
1003,9,10,firm67
1004,7,10,firm98
1005,13,10,firm31
1006,7,10,firm62
1007,7,10,firm93
1008,13,10,firm10
1009,11,10,firm41
1010,7,10,firm72
1011,7,10,firm5
1012,9,10,firm36
1013,11,10,firm59
1014,7,10,firm90
1015,9,10,firm23
1016,9,10,firm54
1017,11,10,firm85
1018,6,10,firm2
1019,5,10,firm33
1020,13,10,firm64
1021,6,10,firm28
1022,5,10,firm51
1023,9,10,firm82
1024,11,10,firm15
1025,13,10,firm46
1026,7,10,firm77
1027,11,10,firm25
1028,11,10,firm56
1029,9,10,firm95
1030,9,10,firm20
1031,6,10,firm43
1032,5,10,firm74
1033,13,10,firm7
1034,7,10,firm38
1035,9,10,firm69
1036,11,10,firm17
1037,13,10,firm48
1038,13,10,firm87
1039,0,10,firm12
1040,11,10,firm35
1041,11,10,firm66
1042,13,10,firm97
1043,9,10,firm30
1044,8,10,firm61
1045,11,10,firm92
1046,11,10,firm9
1047,10,10,firm40
1048,11,10,firm79
1049,13,10,firm4
1050,11,10,firm27
1051,5,10,firm58
1052,13,10,firm89
1053,11,10,firm22
1054,7,10,firm53
1055,9,10,firm84
1056,11,10,firm1
1057,11,10,firm32
1058,13,10,firm71
1059,9,10,firm19
1060,7,10,firm50
1061,11,10,firm81
1062,6,10,firm14
1063,7,10,firm45
1064,10,10,firm76
1065,13,10,firm99
1066,9,10,firm24
1067,11,10,firm63
1068,13,10,firm94
1069,2,10,firm11
1070,13,10,firm42
1071,13,10,firm73
1072,11,10,firm6
1073,10,10,firm37
1074,9,10,firm68
1075,7,10,firm91
1076,9,10,firm16
1077,13,10,firm55
1078,5,10,firm86
1079,6,10,firm3
1080,9,10,firm34
1081,13,10,firm65
1082,11,10,firm96
1083,9,10,firm29
1084,6,10,firm60
1085,7,10,firm83
1086,4,10,firm8
1087,11,10,firm47
1088,7,10,firm78
1089,13,10,firm26
1090,11,10,firm57
1091,9,10,firm88
1092,5,10,firm21
1093,7,10,firm52
1094,9,10,firm75
1095,6,10,firm0
1096,13,10,firm39
1097,13,10,firm70
1098,5,10,firm18
1099,9,10,firm49
1100,3,10,firm80
1101,8,11,firm13
1102,14,11,firm44
1103,10,11,firm67
1104,8,11,firm98
1105,14,11,firm31
1106,8,11,firm62
1107,8,11,firm93
1108,14,11,firm10
1109,12,11,firm41
1110,8,11,firm72
1111,6,11,firm5
1112,8,11,firm36
1113,12,11,firm59
1114,8,11,firm90
1115,10,11,firm23
1116,10,11,firm54
1117,12,11,firm85
1118,7,11,firm2
1119,6,11,firm33
1120,14,11,firm64
1121,7,11,firm28
1122,4,11,firm51
1123,10,11,firm82
1124,12,11,firm15
1125,14,11,firm46
1126,8,11,firm77
1127,12,11,firm25
1128,12,11,firm56
1129,10,11,firm95
